created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Nov 15 09:24:28 +0000 2023,1724720007882354888,"Kwita ku ubuzima bwo mu mutwe muri campaign ya #WeAreEqual. Thank you, @Imbuto, @OAFLAD, and all contributors, for the impactful campaign. I appreciate the invitation to have contributed to this significant initiative.   Iyi #Part1 ya Video isobanura icyo ubuzima bwo mu mutwe ari… https://t.co/Y2289dJEw0",6,7,43,363,en,848848146,1724720007882354888,Umwegamirwa,https://twitter.com/Umwegamirwa/status/1724720007882354888,"Imbuto, OAFLAD"
Wed Nov 15 08:08:05 +0000 2023,1724700787958272256,16TH DEC. YE GYINA MU LIVE   🔥🔥🔥 SEE YOU THERE ✌🏾 https://t.co/BAmm4GrtI0,5,13,227,755,en,273803917,1724700787958272256,PureAkan,https://twitter.com/PureAkan/status/1724700787958272256,
Wed Nov 15 07:18:10 +0000 2023,1724688224499433759,madem hua hawaamini kuna more important things than box,5,29,516,1308,en,1031942758930542592,1724688224499433759,Mareh3mu,https://twitter.com/Mareh3mu/status/1724688224499433759,
Wed Nov 15 06:39:28 +0000 2023,1724678486219260242,"ان شاء الله I will be travelling for umrah with my family, pls pray Allah purifies our intentions and accepts our efforts. I would appreciate if you could keep us in your Duas and In’Sha’Allah we will do the same for you. Also, please forgive me",0,14,16,307,en,1202336228521197569,1724678486219260242,ateeeeka,https://twitter.com/ateeeeka/status/1724678486219260242,
Wed Nov 15 06:04:12 +0000 2023,1724669609733693510,Madonna’s precision is INSANE https://t.co/Cbuq6SzNL3,4,0,25,186,en,1538678063164186624,1724669609733693510,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724669609733693510,
Wed Nov 15 05:26:24 +0000 2023,1724660097249419468,@SomaKazima OH THATS NOT— https://t.co/T0vjCUMNC6,3,6,21,1064,en,1538678063164186624,1724657013630677452,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724660097249419468,SomaKazima
Wed Nov 15 04:08:25 +0000 2023,1724640474034471205,But eehhh..... Some people were born naturally to do their things perfectly 💯🙌 https://t.co/DJgRbjPOZ6,6,15,42,242,en,829577236734951424,1724640474034471205,kadobamosesUG,https://twitter.com/kadobamosesUG/status/1724640474034471205,
Wed Nov 15 03:51:49 +0000 2023,1724636295832437203,“Trials flawless run hold your own” https://t.co/fLxH6k8Wdf,0,4,5,193,en,1481284619576168456,1724636295832437203,MuItimach,https://twitter.com/MuItimach/status/1724636295832437203,
Wed Nov 15 03:14:44 +0000 2023,1724626963543871730,"Fourth-ranked Marquette strolls into Champaign and beats No. 23 Illinois , 71-64. Tyler Kolek with another big game to add to his legend: 24 points, six boards, four dimes, two steals in 37 minutes on a tight ankle.   As previously reported, MU is a national title contender.",7,9,63,471,en,22730851,1724626963543871730,MattNorlander,https://twitter.com/MattNorlander/status/1724626963543871730,
Wed Nov 15 03:12:11 +0000 2023,1724626318963126363,Vladimir Putin sending the Russian police to arrest Madonna for speaking out against his Anti-LGBTQ agenda while touring in Russia is so iconic https://t.co/QQCIAmArrV,10,13,74,403,en,1538678063164186624,1724626318963126363,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1724626318963126363,
